id,uuid,title,url,geoHash,type,typology_id,typology_name,contract,isNew,luxury,visibility,isProjectLike,isMosaic,propertiesCount,price_value,price_formatted,price_min,price_max,price_range,price_visible,surface,rooms,bathrooms,floor,floor_number,floor_ga4value,elevator,address,latitude,longitude,city,province,region,macrozone,nation,description,caption,ga4features,ga4Heating,ga4Garage,views,agency_id,agency_type,agency_name,agency_label,agency_url,photo_id,photo_caption,photo_url_small,photo_url_medium,photo_url_large,typologyGA4Translation,matchSearch
121029048,4e761203-51fc-5d6c-877e-6d156b282c14,"Trilocale via Ciarli 36, Centro, Varazze",https://www.immobiliare.it/annunci/121029048/,spyh75x0,ad,14,Appartamento,rent,False,False,vetrina,False,False,,,prezzo su richiesta,,,Prezzo su richiesta,False,65 m²,3,1,2°,2,2,,Via Ciarli,44.3601,8.579,Varazze,Savona,Liguria,Centro,Italia,,AFFITTO MENSILE,"porta blindata, esposizione esterna, impianto tv con parabola satellitare, arredato",Autonomo,1 in parcheggio/garage comune,,115889.0,agency,Casedamare sas,agenzia,https://www.immobiliare.it/agenzie-immobiliari/115889/casedamare-varazze/,1721190976.0,Cucina,https://pwm.im-cdn.it/image/1721190976/xxs-c.jpg,https://pwm.im-cdn.it/image/1721190976/m-c.jpg,https://pwm.im-cdn.it/image/1721190976/xxl.jpg,Appartamento,
119991366,4561140d-d459-54e8-a950-9e3c685428d6,"Trilocale via Monte Tabor, Celle Ligure Pecorile, Celle Ligure",https://www.immobiliare.it/annunci/119991366/,spyh68fg,ad,14,Appartamento,rent,False,False,vetrina,False,False,,2000.0,€ 2.000/mese,,,1.501 - 2.000 &euro;,True,76 m²,3,1,Piano terra,piano terra,piano terra,,Via Monte Tabor,44.3456,8.5514,Celle Ligure,Savona,Liguria,Celle Ligure Pecorile,Italia,,Celle Ligure trilocale 200 mt dal mare affitto transitorio,"cancello elettrico, accesso per disabili, armadio a muro, arredato, esposizione doppia",Autonomo,1 in parcheggio/garage comune,,6071.0,agency,Case&Case,agenzia,https://www.immobiliare.it/agenzie-immobiliari/6071/case-e-case-celle-ligure/,1688896628.0,Ingresso,https://pwm.im-cdn.it/image/1688896628/xxs-c.jpg,https://pwm.im-cdn.it/image/1688896628/m-c.jpg,https://pwm.im-cdn.it/image/1688896628/xxl.jpg,Appartamento,
120061522,1338cac5-4e57-5fc7-831a-b74571c9294f,"Appartamento buono stato, su più livelli, Centro Storico, Savona",https://www.immobiliare.it/annunci/120061522/,spyh0frm,ad,14,Appartamento,rent,False,False,vetrina,False,False,,1500.0,€ 1.500/mese,,,1.001 - 1.500 &euro;,True,147 m²,5,2,"6°, con ascensore",6,6,True,Piazza Generale Armando Diaz,44.3102,8.4807,Savona,Savona,Liguria,Centro Storico,Italia,,Appartamento in affitto transitorio e arredato a Savona,"cancello elettrico, porta blindata, esposizione esterna, armadio a muro, balcone, terrazzo, impianto tv centralizzato, arredato",Centralizzato,,db_feature.view.id_10,67089.0,agency,Agenzia EDIMMOBILIARE,agenzia,https://www.immobiliare.it/agenzie-immobiliari/67089/ed-savona-elisabetta-delfino/,1691153490.0,Salone,https://pwm.im-cdn.it/image/1691153490/xxs-c.jpg,https://pwm.im-cdn.it/image/1691153490/m-c.jpg,https://pwm.im-cdn.it/image/1691153490/xxl.jpg,Appartamento,
119458187,28c57c0c-7fd2-50b5-a87f-46d4269877c3,"Bilocale via Savona, Centro, Varazze",https://www.immobiliare.it/annunci/119458187/,spyh6cvn,ad,14,Appartamento,rent,False,False,vetrina,False,False,,3500.0,€ 3.500/mese,,,oltre 2.000 &euro;,True,44 m²,2,1,1°,1,1,,Via Savona,44.3516,8.5654,Varazze,Savona,Liguria,Centro,Italia,,"Varazze, bilocale frontemare in Via Savona","porta blindata, terrazzo, impianto tv centralizzato, arredato, esposizione doppia",Autonomo,1 in box privato/box in garage,"mare, panoramica",229869.0,agency,Immobiliare 21,agenzia,https://www.immobiliare.it/agenzie-immobiliari/229869/immobiliare-21/,1744388912.0,Interno non residenziale,https://pwm.im-cdn.it/image/1744388912/xxs-c.jpg,https://pwm.im-cdn.it/image/1744388912/m-c.jpg,https://pwm.im-cdn.it/image/1744388912/xxl.jpg,Appartamento,
120564808,b80d751c-c20c-5433-83fc-7aa333479b49,"Trilocale viale Daniel Hanbury 208, Regione Paradiso, Alassio",https://www.immobiliare.it/annunci/120564808/,spvf6hkw,ad,14,Appartamento,rent,False,False,vetrina,False,False,,,prezzo su richiesta,,,Prezzo su richiesta,False,50 m²,3,1,"2°, con ascensore",2,2,True,Viale Daniel Hanbury,44.0137,8.1801,Alassio,Savona,Liguria,Regione Paradiso,Italia,,,"videocitofono, impianto di allarme, esposizione esterna, balcone, impianto tv centralizzato, arredato, cantina",Autonomo,,,127142.0,agency,PBA Servizi Immobiliari di Pietrasanta Claudio,agenzia,https://www.immobiliare.it/agenzie-immobiliari/127142/pba-pietrasanta/,1706552820.0,Mappa,https://pwm.im-cdn.it/image/1706552820/xxs-c.jpg,https://pwm.im-cdn.it/image/1706552820/m-c.jpg,https://pwm.im-cdn.it/image/1706552820/xxl.jpg,Appartamento,
114329183,92993bfc-353c-5afd-9835-bcfa39887092,"Trilocale via Leonardo da Vinci 246/8, Via Roma, Borgo Barusso, Alassio",https://www.immobiliare.it/annunci/114329183/,spvf3cc2,ad,14,Appartamento,rent,False,False,vetrina,False,False,,700.0,€ 700/mese,,,501 - 1000 &euro;,True,65 m²,3,1,"4°, con ascensore",4,4,True,Via Leonardo da Vinci,43.999,8.1646,Alassio,Savona,Liguria,"Via Roma, Borgo Barusso",Italia,,LOCAZIONE ANNUALE,"cancello elettrico, videocitofono, porta blindata, armadio a muro, balcone, impianto tv centralizzato, arredato",Autonomo,1 in box privato/box in garage,"mare, monti",110130.0,agency,Ecco Casa,agenzia,https://www.immobiliare.it/agenzie-immobiliari/110130/ecco-casa-torino/,1569849361.0,Vista,https://pwm.im-cdn.it/image/1569849361/xxs-c.jpg,https://pwm.im-cdn.it/image/1569849361/m-c.jpg,https://pwm.im-cdn.it/image/1569849361/xxl.jpg,Appartamento,
118827953,ead28a7d-6456-5075-8a57-1b0bd3a0a45d,"Trilocale via dei Siccardi 5, Centro, Albisola Superiore",https://www.immobiliare.it/annunci/118827953/,spyh1wwu,ad,14,Appartamento,rent,False,False,vetrina,False,False,,,prezzo su richiesta,,,Prezzo su richiesta,False,68 m²,3,1,Piano terra,piano terra,piano terra,,Via dei Siccardi,44.3333,8.5129,Albisola Superiore,Savona,Liguria,Centro,Italia,,Albisola Superiore,"porta blindata, impianto tv centralizzato, arredato",Autonomo,,,217486.0,agency,Perucca Valeriano,agenzia,https://www.immobiliare.it/agenzie-immobiliari/217486/alma-vercelli/,1660730897.0,Camera da letto,https://pwm.im-cdn.it/image/1660730897/xxs-c.jpg,https://pwm.im-cdn.it/image/1660730897/m-c.jpg,https://pwm.im-cdn.it/image/1660730897/xxl.jpg,Appartamento,
121735308,5d3c6b83-fc48-53c7-b7d4-0e3bf448b1e9,"Villa unifamiliare 80 m², Via Roma, Borgo Barusso, Alassio",https://www.immobiliare.it/annunci/121735308/,spvf3f69,ad,23,Villa unifamiliare,rent,True,False,vetrina,False,False,,1300.0,€ 1.300/mese,,,1.001 - 1.500 &euro;,True,80 m²,2,1,Piano terra,piano terra,piano terra,,Via Leonardo da Vinci,44.0018,8.1664,Alassio,Savona,Liguria,"Via Roma, Borgo Barusso",Italia,,A 100 MT DAL MARE APPARTAMENTO NUOVO ARREDATO CON POSTO AUTO,"porta blindata, balcone, terrazzo, impianto tv con parabola satellitare, arredato",Assente,1 in parcheggio/garage comune,,215744.0,agency,Blu Case,agenzia,https://www.immobiliare.it/agenzie-immobiliari/215744/blu-case/,1743413552.0,Facciata,https://pwm.im-cdn.it/image/1743413552/xxs-c.jpg,https://pwm.im-cdn.it/image/1743413552/m-c.jpg,https://pwm.im-cdn.it/image/1743413552/xxl.jpg,Villa,
120347476,c0383ec8-e55e-5332-87a9-e5d080f97004,"Bilocale via del Salto 3, Verezzi, Borgio Verezzi",https://www.immobiliare.it/annunci/120347476/,spvgm07y,ad,14,Appartamento,rent,False,False,star,False,False,,900.0,€ 900/mese,,,501 - 1000 &euro;,True,80 m²,2,1,Piano terra,piano terra,piano terra,,Via del Salto,44.1675,8.3111,Borgio Verezzi,Savona,Liguria,Verezzi,Italia,,Appartamento nel cuore del borgo storico di Borgio Verezzi,"caminetto, porta blindata, impianto tv con parabola satellitare, parzialmente arredato",Autonomo,,"mare, db_feature.view.id_10",388994.0,agency,Immobiliare Velizzone,agenzia,https://www.immobiliare.it/agenzie-immobiliari/388994/immobiliare-velizzone/,1700283392.0,Giardino,https://pwm.im-cdn.it/image/1700283392/xxs-c.jpg,https://pwm.im-cdn.it/image/1700283392/m-c.jpg,https://pwm.im-cdn.it/image/1700283392/xxl.jpg,Appartamento,
120560404,5eadcfe9-d6ad-5c11-a70d-44c013bb1aad,"Bilocale buono stato, sesto piano, Centro, Pietra Ligure",https://www.immobiliare.it/annunci/120560404/,spvghke5,ad,14,Appartamento,rent,False,False,star,False,False,,800.0,€ 800/mese,,,501 - 1000 &euro;,True,60 m²,2,1,"6°, con ascensore",6,6,True,Piazza San Rocco,44.1464,8.2769,Pietra Ligure,Savona,Liguria,Centro,Italia,,"VACANZE AL MARE Attico in via Vignette, 107, Pietra Ligure","mansarda, porta blindata, esposizione esterna, accesso per disabili, balcone, terrazzo, impianto tv centralizzato, arredato",Autonomo,,,196119.0,constructor,Studio Degiorgis,Impresa Edile,https://www.immobiliare.it/imprese-edili/196119/studio-degiorgis-loano/,1706417688.0,Vista,https://pwm.im-cdn.it/image/1706417688/xxs-c.jpg,https://pwm.im-cdn.it/image/1706417688/m-c.jpg,https://pwm.im-cdn.it/image/1706417688/xxl.jpg,Appartamento,
